q(1/A)	I (1/cm)
1.28E-01	 8.4536051E-02
1.28E-01	 8.4859598E-02
1.28E-01	 8.4641207E-02
1.28E-01	 8.4630748E-02
1.29E-01	 8.4234030E-02
1.29E-01	 8.4441900E-02
1.29E-01	 8.4920200E-02
1.30E-01	 8.4995545E-02
1.30E-01	 8.5136294E-02
1.30E-01	 8.5735486E-02
1.30E-01	 8.5156124E-02
1.31E-01	 8.5461855E-02
1.31E-01	 8.5630991E-02
1.31E-01	 8.4177050E-02
1.31E-01	 8.4489180E-02
1.32E-01	 8.5122875E-02
1.32E-01	 8.5451161E-02
1.32E-01	 8.5155868E-02
1.32E-01	 8.4800939E-02
1.33E-01	 8.5675292E-02
1.33E-01	 8.5117108E-02
1.33E-01	 8.4298732E-02
1.34E-01	 8.4622207E-02
1.34E-01	 8.4621823E-02
1.34E-01	 8.4285191E-02
1.34E-01	 8.4144744E-02
1.35E-01	 8.4741119E-02
1.35E-01	 8.5591062E-02
1.35E-01	 8.4335021E-02
1.35E-01	 8.4552471E-02
1.36E-01	 8.4514771E-02
1.36E-01	 8.4839180E-02
1.36E-01	 8.5334510E-02
1.37E-01	 8.4574616E-02
1.37E-01	 8.5628546E-02
1.37E-01	 8.5594731E-02
1.37E-01	 8.6781506E-02
1.38E-01	 8.5707990E-02
1.38E-01	 8.4721854E-02
1.38E-01	 8.6059437E-02
1.38E-01	 8.5922905E-02
1.39E-01	 8.6595955E-02
1.39E-01	 8.6161477E-02
